PID CMD
1835 /usr/libexec/at-spi-bus-launcher
1203 /usr/libexec/colord
2261 /usr/libexec/dconf-service
2185 /usr/libexec/evolution-addressbook-factory
2140 /usr/libexec/evolution-calendar-factory
1993 /usr/libexec/evolution-data-server/evolution-alarm-notify
1929 /usr/libexec/evolution-source-registry
5345 /usr/libexec/fwupd/fwupd
1757 /usr/libexec/gcr-ssh-agent
1681 /usr/libexec/gdm-wayland-session
778 /usr/libexec/gnome-remote-desktop-daemon
1692 /usr/libexec/gnome-session-binary
1791 /usr/libexec/gnome-session-binary
1758 /usr/libexec/gnome-session-ctl
1914 /usr/libexec/gnome-shell-calendar-server
26894 /usr/libexec/gnome-terminal-server
2076 /usr/libexec/goa-daemon
2172 /usr/libexec/goa-identity-service
1942 /usr/libexec/gsd-a11y-settings
1945 /usr/libexec/gsd-color
1946 /usr/libexec/gsd-datetime
1974 /usr/libexec/gsd-disk-utility-notify
1947 /usr/libexec/gsd-housekeeping
1949 /usr/libexec/gsd-keyboard
1950 /usr/libexec/gsd-media-keys
1951 /usr/libexec/gsd-power
2155 /usr/libexec/gsd-printer
1954 /usr/libexec/gsd-print-notifications
1955 /usr/libexec/gsd-rfkill
1956 /usr/libexec/gsd-screensaver-proxy
1957 /usr/libexec/gsd-sharing
1958 /usr/libexec/gsd-smartcard
1962 /usr/libexec/gsd-sound
1963 /usr/libexec/gsd-wacom
2551 /usr/libexec/gsd-xsettings
2209 /usr/libexec/gvfs-afc-volume-monitor
1771 /usr/libexec/gvfsd
2907 /usr/libexec/gvfsd-dnssd
1785 /usr/libexec/gvfsd-fuse
2464 /usr/libexec/gvfsd-metadata
2886 /usr/libexec/gvfsd-network
2887 /usr/libexec/gvfsd-recent
2270 /usr/libexec/gvfsd-trash
2179 /usr/libexec/gvfs-goa-volume-monitor
2216 /usr/libexec/gvfs-gphoto2-volume-monitor
2200 /usr/libexec/gvfs-mtp-volume-monitor
2086 /usr/libexec/gvfs-udisks2-volume-monitor
2129 /usr/libexec/ibus-dconf
2236 /usr/libexec/ibus-engine-simple
2130 /usr/libexec/ibus-extension-gtk3
2138 /usr/libexec/ibus-portal
2573 /usr/libexec/ibus-x11
2576 /usr/libexec/mutter-x11-frames
788 /usr/libexec/power-profiles-daemon
1111 /usr/libexec/rtkit-daemon
812 /usr/libexec/switcheroo-control
2333 /usr/libexec/tracker-miner-fs-3
823 /usr/libexec/udisks2/udisksd
1242 /usr/libexec/upowerd
2385 /usr/libexec/xdg-desktop-portal
2391 /usr/libexec/xdg-desktop-portal-gnome
2456 /usr/libexec/xdg-desktop-portal-gtk
1637 /usr/libexec/xdg-document-portal
1661 /usr/libexec/xdg-permission-store
785 /usr/lib/polkit-1/polkitd
5526 /usr/lib/snapd/snap-failure
28224 /usr/lib/speech-dispatcher-modules/sd_dummy
28221 /usr/lib/speech-dispatcher-modules/sd_espeak-ng
28227 /usr/lib/speech-dispatcher-modules/sd_openjtalk
56357 /usr/lib/systemd/systemd-journald
821 /usr/lib/systemd/systemd-logind
5765 /usr/lib/systemd/systemd-oomd
14264 /usr/lib/systemd/systemd-resolved
5762 /usr/lib/systemd/systemd-timesyncd
14258 /usr/lib/systemd/systemd-udevd
1586 /usr/lib/systemd/systemd
801 /usr/sbin/cron
51592 /usr/sbin/cups-browsed
51591 /usr/sbin/cupsd
1057 /usr/sbin/gdm3
1055 /usr/sbin/kerneloops
1051 /usr/sbin/kerneloops
907 /usr/sbin/ModemManager
835 /usr/sbin/NetworkManager
847 /usr/sbin/rsyslogd
840 /usr/sbin/wpa_supplicant
51 [watchdogd]
